system:index,area_km2,class,territory,year,.geo
14_5_0,671.4076430961602,1,1505650.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_6_0,944.9900561863273,1,1505908.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_7_0,191.91601360363623,1,1507805.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_8_0,924.9254905366234,1,1508159.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_9_0,711.5145475452687,1,1508357.0,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0_0,1919.9048312088403,1,1500602.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_1_0,376.6014142849204,1,1500859.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_2_0,896.1162013040425,1,1501725.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_3_0,543.3430600393292,1,1504455.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_4_0,1373.9938769829296,1,1505486.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_5_0,718.6659735940351,1,1505650.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_6_0,1010.4645462708697,1,1505908.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_7_0,208.19214027172694,1,1507805.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_8_0,1013.6291372162465,1,1508159.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_9_0,777.4740633071036,1,1508357.0,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0_0,2267.860454148162,1,1500602.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_1_0,529.934100806165,1,1500859.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_2_0,1075.361947540767,1,1501725.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_3_0,628.9314891532771,1,1504455.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_4_0,1540.6960390254671,1,1505486.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_5_0,842.8667812680538,1,1505650.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_6_0,1292.1445135199444,1,1505908.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_7_0,275.7484100823374,1,1507805.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_8_0,1213.0151275143076,1,1508159.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_9_0,894.4060988458386,1,1508357.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_0_0,2697.8351180828677,1,1500602.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_1_0,575.4694791238614,1,1500859.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_2_0,1130.770432583562,1,1501725.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_3_0,647.394255640925,1,1504455.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_4_0,1572.5072470346008,1,1505486.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_5_0,856.8068355969206,1,1505650.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_6_0,1398.2191110393708,1,1505908.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_7_0,286.2414568425905,1,1507805.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_8_0,1255.6901956127276,1,1508159.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
17_9_0,913.8110159176642,1,1508357.0,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_0_0,3104.134028601202,1,1500602.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_1_0,643.9027956234224,1,1500859.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_2_0,1172.6289997066694,1,1501725.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_3_0,676.729270034295,1,1504455.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_4_0,1696.0523348301417,1,1505486.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_5_0,885.1187552616558,1,1505650.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_6_0,1467.0550525670485,1,1505908.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_7_0,309.9677753648667,1,1507805.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_8_0,1306.9086366874976,1,1508159.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
18_9_0,941.3878994231324,1,1508357.0,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_0_0,3762.951592331328,1,1500602.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_1_0,842.4554264447698,1,1500859.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
19_2_0,1266.9310091296873,1,1501725.0,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
